"fips_state","fips_county","population_5_11"
"18","18017",3281
"18","18019",10254
"18","18021",2271
"18","18023",3241
"18","18025",879
"18","18027",3819
"18","18029",4161
"18","18031",2422
"18","18033",3973
"18","18035",8019
"18","18037",3929
"18","18039",21608
"18","18041",1867
"18","18043",6883
"18","18045",1386
"18","18047",1893
"18","18049",1838
"18","18051",3119
"18","18053",5210
"18","18055",2595
"18","18057",35842
"18","18059",7039
"18","18061",3465
"18","18063",16844
"18","18065",3782
"18","18067",7377
"18","18069",3094
"18","18071",4093
"18","18073",2938
"18","18075",1980
"18","18077",2445
"18","18079",2531
"18","18081",15519
"18","18083",3073
"18","18085",7202
"18","18087",4887
"18","18089",43858
"18","18091",9172
"18","18093",3583
"18","18095",10770
"18","18097",92909
"18","18099",4318
"18","18101",894
"18","18103",2817
"18","18105",8899
"18","18107",3391
"18","18109",5916
"18","18111",1092
"18","18113",4493
"18","18115",444
"18","18117",1673
"18","18119",1649
"18","18121",1367
"18","18123",1534
"18","18125",1018
"18","18127",14360
"18","18129",2233
"18","18131",1035
"18","18133",2859
"18","18135",2110
"18","18137",2501
"18","18139",1408
"18","18141",24661
"18","18143",2080
"18","18145",3867
"18","18147",1721
"18","18149",2003
"18","18151",2590
"18","18153",1513
"18","18155",1091
"18","18157",15493
"18","18159",1140
"18","18161",536
"18","18163",15255
"18","18165",1313
"18","18167",8510
"18","18169",2413
"18","18171",730
"18","18173",5805
"18","18175",2444
"18","18177",5635
"18","18179",2776
"18","18181",2190
"18","18183",2971
"19","19001",627
"19","19003",302
"19","19005",1197
"19","19007",1115
"19","19009",446
"19","19011",2223
"19","19013",11104
"19","19015",2086
"19","19017",2165
"19","19019",2122
"19","19021",1974
"19","19023",1298
"19","19025",821
"19","19027",1960
"19","19029",1120
"19","19031",1577
"19","19033",3561
"19","19035",984
"19","19037",1091
"19","19039",951
"19","19041",1397
"19","19043",1457
"19","19045",4142
"19","19047",1707
"19","19049",10514
"19","19051",981
"19","19053",678
"19","19055",1522
"19","19057",3542
"19","19059",1304
"19","19061",8632
"19","19063",646
"19","19065",1578
"19","19067",1365
"19","19069",871
"19","19071",599
"19","19073",789
"19","19075",1106
"19","19077",875
"19","19079",1260
"19","19081",847
"19","19083",1245
"19","19085",1264
"19","19087",1677
"19","19089",855
"19","19091",851
"19","19093",707
"19","19095",1510
"19","19097",1634
"19","19099",3179
"19","19101",1046
"19","19103",11732
"19","19105",1673
"19","19107",925
"19","19109",1217
"19","19111",2797
"19","19113",20228
"19","19115",919
"19","19117",740
"19","19119",1259
"19","19121",1603
"19","19123",2027
"19","19125",3111
"19","19127",3909
"19","19129",1404
"19","19131",977
"19","19133",691
"19","19135",662
"19","19137",813
"19","19139",4188
"19","19141",1269
"19","19143",541
"19","19145",1040
"19","19147",777
"19","19149",2455
"19","19151",573
"19","19153",47106
"19","19155",8555
"19","19157",1451
"19","19159",403
"19","19161",845
"19","19163",16074
"19","19165",1017
"19","19167",3739
"19","19169",6377
"19","19171",1530
"19","19173",569
"19","19175",1058
"19","19177",637
"19","19179",3044
"19","19181",5035
"19","19183",2125
"19","19185",636
"19","19187",2957
"19","19189",911
"19","19191",1381
"19","19193",10414
"19","19195",581
"19","19197",1128
"20","20001",1035
"20","20003",790
"20","20005",1423
"20","20007",412
"20","20009",2462
"20","20011",1467
"20","20013",1017
"20","20015",6704
"20","20017",218
"20","20019",266
"20","20021",1714
"20","20023",204
"20","20025",189
"20","20027",746
"20","20029",831
"20","20031",696
"20","20033",187
"20","20035",3311
"20","20037",3268
"20","20039",223
"20","20041",1692
"20","20043",625
"20","20045",8710
"20","20047",254
"20","20049",243
"20","20051",2463
"20","20053",450
"20","20055",4262
"20","20057",3936
"20","20059",2328
"20","20061",3930
"20","20063",271
"20","20065",235
"20","20067",874
"20","20069",656
"20","20071",136
"20","20073",504
"20","20075",323
"20","20077",549
"20","20079",3330
"20","20081",445
"20","20083",155
"20","20085",1228
"20","20087",1710
"20","20089",230
"20","20091",56467
"20","20093",460
"20","20095",599
"20","20097",230
"20","20099",1817
"20","20101",149
"20","20103",7637
"20","20105",258
"20","20107",812
"20","20109",253
"20","20111",2850
"20","20113",2529
"20","20115",1018
"20","20117",913
"20","20119",427
"20","20121",3237
"20","20123",547
"20","20125",2968
"20","20127",456
"20","20129",245
"20","20131",1097
"20","20133",1510
"20","20135",248
"20","20137",390
"20","20139",1418
"20","20141",291
"20","20143",498
"20","20145",354
"20","20147",467
"20","20149",2848
"20","20151",872
"20","20153",216
"20","20155",5342
"20","20157",398
"20","20159",904
"20","20161",4626
"20","20163",421
"20","20165",232
"20","20167",635
"20","20169",4839
"20","20171",525
"20","20173",52620
"20","20175",2670
"20","20177",16261
"20","20179",240
"20","20181",584
"20","20183",261
"20","20185",382
"20","20187",226
"20","20189",637
"20","20191",2223
"20","20193",713
"20","20195",203
"20","20197",632
"20","20199",150
"20","20201",460
"20","20203",252
"20","20205",803
"20","20207",246
"20","20209",18211
"21","21001",1435
"21","21003",1945
"21","21005",2075
"21","21007",637
"21","21009",3976
"21","21011",1210
"21","21013",2050
"21","21015",13500
"21","21017",1729
"21","21019",3824
"21","21021",2299
"21","21023",770
"21","21025",954
"21","21027",1715
"21","21029",6826
"21","21031",1146
"21","21033",1154
"21","21035",2745
"21","21037",7651
"21","21039",415
"21","21041",1128
"21","21043",2308
"21","21045",1464
"21","21047",7262
"21","21049",3113
"21","21051",1579
"21","21053",867
"21","21055",754
"21","21057",565
"21","21059",9658
"21","21061",840
"21","21063",531
"21","21065",1147
"21","21067",26093
"21","21069",1357
"21","21071",3013
"21","21073",4079
"21","21075",535
"21","21077",823
"21","21079",1554
"21","21081",2504
"21","21083",3513
"21","21085",2340
"21","21087",859
"21","21089",2911
"21","21091",813
"21","21093",10652
"21","21095",2409
"21","21097",1599
"21","21099",1700
"21","21101",4038
"21","21103",1445
"21","21105",305
"21","21107",3936
"21","21109",1179
"21","21111",65016
"21","21113",5128
"21","21115",1916
"21","21117",15495
"21","21119",1180
"21","21121",2771
"21","21123",1259
"21","21125",5445
"21","21127",1469
"21","21129",490
"21","21131",870
"21","21133",1841
"21","21135",1099
"21","21137",2236
"21","21139",728
"21","21141",2458
"21","21143",458
"21","21145",5700
"21","21147",1437
"21","21149",846
"21","21151",7503
"21","21153",1074
"21","21155",1841
"21","21157",2489
"21","21159",881
"21","21161",1565
"21","21163",2553
"21","21165",440
"21","21167",1879
"21","21169",951
"21","21171",913
"21","21173",2530
"21","21175",881
"21","21177",2327
"21","21179",4279
"21","21181",692
"21","21183",2229
"21","21185",6750
"21","21187",939
"21","21189",361
"21","21191",1230
"21","21193",2291
"21","21195",4655
"21","21197",1166
"21","21199",5559
"21","21201",179
"21","21203",1340
"21","21205",1898
"21","21207",1653
"21","21209",5613
"21","21211",4274
"21","21213",1732
"21","21215",1623
"21","21217",2290
"21","21219",1209
"21","21221",1206
"21","21223",724
"21","21225",977
"21","21227",11706
"21","21229",1103
"21","21231",1592
"21","21233",1160
"21","21235",3571
"21","21237",572
"21","21239",2313
"22","22001",6206
"22","22003",2213
"22","22005",13371
"22","22007",1741
"22","22009",3682
"22","22011",3540
"22","22013",1147
"22","22015",12427
"22","22017",22473
"22","22019",19807
"22","22021",857
"22","22023",592
"22","22025",767
"22","22027",1115
"22","22029",1777
"22","22031",2561
"22","22033",38979
"22","22035",670
"22","22037",1303
"22","22039",3232
"22","22041",1962
"22","22043",1842
"22","22045",6989
"22","22047",2585
"22","22049",1370
"22","22051",36972
"22","22053",3137
"22","22055",22654
"22","22057",8797
"22","22059",1325
"22","22061",3592
"22","22063",13999
"22","22065",1017
"22","22067",2335
"22","22069",3413
"22","22071",30149
"22","22073",14724
"22","22075",2394
"22","22077",1787
"22","22079",12414
"22","22081",783
"22","22083",1826
"22","22085",2180
"22","22087",5119
"22","22089",5072
"22","22091",809
"22","22093",1901
"22","22095",3975
"22","22097",8512
"22","22099",5004
"22","22101",4556
"22","22103",23817
"22","22105",12850
"22","22107",381
"22","22109",10834
"22","22111",1797
"22","22113",5870
"22","22115",4587
"22","22117",4094
"22","22119",3343
"22","22121",2482
"22","22123",961
"22","22125",1028
"22","22127",1061
"23","23001",9342
"23","23003",4717
"23","23005",20773
"23","23007",2102
"23","23009",3582
"23","23011",9046
"23","23013",2732
"23","23015",2218
"23","23017",3974
"23","23019",10291
"23","23021",1007
"23","23023",2593
"23","23025",3506
"23","23027",2874
"23","23029",2316
"23","23031",14779
"24","24001",4705
"24","24003",50923
"24","24005",69593
"24","24009",8329
"24","24011",3099
"24","24013",13870
"24","24015",8967
"24","24017",15346
"24","24019",2622
"24","24021",23503
"24","24023",1962
"24","24025",21940
"24","24027",31320
"24","24029",1172
"24","24031",94933
"24","24033",78763
"24","24035",4142
"24","24037",10650
"24","24039",1772
"24","24041",2646
"24","24043",12691
"24","24045",8787
"24","24047",3589
"24","24510",46662
"25","25001",11971
"25","25003",7783
"25","25005",45032
"25","25007",1205
"25","25009",64021
"25","25011",4710
"25","25013",38362
"25","25015",8990
"25","25017",122844
"25","25019",887
"25","25021",56015
"25","25023",41914
"25","25025",49011
"25","25027",66989
"26","26001",497
"26","26003",505
"26","26005",11048
"26","26007",2051
"26","26009",1552
"26","26011",1031
"26","26013",536
"26","26015",5259
"26","26017",7813
"26","26019",1197
"26","26021",12954
"26","26023",3819
"26","26025",11867
"26","26027",4190
"26","26029",1811
"26","26031",1458
"26","26033",2624
"26","26035",2343
"26","26037",6752
"26","26039",921
"26","26041",2708
"26","26043",1956
"26","26045",8913
"26","26047",2403
"26","26049",35005
"26","26051",1766
"26","26053",908
"26","26055",7228
"26","26057",3051
"26","26059",3726
"26","26061",2783
"26","26063",2284
"26","26065",22063
"26","26067",5518
"26","26069",1598
"26","26071",748
"26","26073",4676
"26","26075",12989
"26","26077",22174
"26","26079",1483
"26","26081",60976
"26","26083",112
"26","26085",746
"26","26087",6780
"26","26089",1286
"26","26091",7806
"26","26093",15170
"26","26095",379
"26","26097",590
"26","26099",69422
"26","26101",1508
"26","26103",4724
"26","26105",2272
"26","26107",3075
"26","26109",1490
"26","26111",6739
"26","26113",1341
"26","26115",12332
"26","26117",5546
"26","26119",532
"26","26121",15483
"26","26123",4197
"26","26125",98597
"26","26127",2351
"26","26129",1501
"26","26131",245
"26","26133",1926
"26","26135",616
"26","26137",2024
"26","26139",27375
"26","26141",720
"26","26143",1360
"26","26145",15463
"26","26147",12482
"26","26149",5760
"26","26151",3387
"26","26153",543
"26","26155",5366
"26","26157",3892
"26","26159",6845
"26","26161",26083
"26","26163",159238
"26","26165",3021
"27","27001",1030
"27","27003",32937
"27","27005",3253
"27","27007",4908
"27","27009",4122
"27","27011",417
"27","27013",5391
"27","27015",2156
"27","27017",3145
"27","27019",11000
"27","27021",2458
"27","27023",1129
"27","27025",4953
"27","27027",6375
"27","27029",868
"27","27031",320
"27","27033",1082
"27","27035",5443
"27","27037",40760
"27","27039",2102
"27","27041",3173
"27","27043",1117
"27","27045",2092
"27","27047",2638
"27","27049",3992
"27","27051",551
"27","27053",107323
"27","27055",1579
"27","27057",1860
"27","27059",3759
"27","27061",3522
"27","27063",803
"27","27065",1274
"27","27067",4065
"27","27069",378
"27","27071",842
"27","27073",549
"27","27075",812
"27","27077",266
"27","27079",2593
"27","27081",519
"27","27083",2646
"27","27085",3121
"27","27087",768
"27","27089",853
"27","27091",1650
"27","27093",2174
"27","27095",2436
"27","27097",3106
"27","27099",3984
"27","27101",691
"27","27103",2994
"27","27105",2293
"27","27107",621
"27","27109",15053
"27","27111",5090
"27","27113",1252
"27","27115",2231
"27","27117",940
"27","27119",2961
"27","27121",964
"27","27123",50181
"27","27125",392
"27","27127",1457
"27","27129",1329
"27","27131",5632
"27","27133",914
"27","27135",1484
"27","27137",14615
"27","27139",16019
"27","27141",9838
"27","27143",1335
"27","27145",14449
"27","27147",3648
"27","27149",821
"27","27151",833
"27","27153",2358
