"date","state_code","fips_state","state_name","pct_dose1_5_11","pct_complete_5_11","population_5_11","dose1_5_11","complete_5_11","dw_dose1_5_11","dw_complete_5_11"
2022-01-12,"ME","23","Maine",0.421113652743396,0.342723446035576,95739,40317,32812,42.1113652743396,34.2723446035576
2022-01-12,"MD","24","Maryland",0.369808545932081,0.260296511895802,520856,192617,135577,36.9808545932081,26.0296511895802
2022-01-12,"MA","25","Massachusetts",0.495339470211962,0.363272478954313,518396,256782,188319,49.5339470211961,36.3272478954313
2022-01-12,"MI","26","Michigan",0.237933010505044,0.173067300854239,825413,196393,142852,23.7933010505044,17.3067300854239
2022-01-12,"MN","27","Minnesota",0.358590137315119,0.276475617839591,509922,182853,140981,35.8590137315119,27.6475617839591
2022-01-12,"MS","28","Mississippi",0.0961968102755432,0.0511233345376522,271246,26093,13867,9.61968102755432,5.11233345376522
2022-01-12,"MO","29","Missouri",0.198387281146406,0.130739665650363,533633,105866,69767,19.8387281146406,13.0739665650363
2022-01-12,"MT","30","Montana",0.209233093397316,0.142295387896561,90024,18836,12810,20.9233093397316,14.2295387896561
2022-01-12,"NE","31","Nebraska",0.25055340640447,0.180856436707501,186120,46633,33661,25.055340640447,18.0856436707501
2022-01-12,"NV","32","Nevada",0.170577647106266,0.0997510805450566,272779,46530,27210,17.0577647106266,9.97510805450566
2022-01-12,"NH","33","New Hampshire",0.335435444673455,0.197085755888475,97521,32712,19220,33.5435444673455,19.7085755888475
2022-01-12,"NJ","34","New Jersey",0.328929083931253,0.220574670448857,749125,246409,165238,32.8929083931253,22.0574670448857
2022-01-12,"NM","35","New Mexico",0.316773878521538,0.200268560388935,188412,59684,37733,31.6773878521538,20.0268560388935
2022-01-12,"NY","36","New York",0.340280943000245,0.22806790528796,1553340,528572,354267,34.0280943000245,22.806790528796
2022-01-12,"NC","37","North Carolina",0.249761703414558,0.157098774074676,892795,222986,140257,24.9761703414558,15.7098774074676
2022-01-12,"ND","38","North Dakota",0.200438379410309,0.139362228664357,70715,14174,9855,20.0438379410309,13.9362228664357
2022-01-12,"OH","39","Ohio",0.216088094068587,0.159530659502591,997570,215563,159143,21.6088094068587,15.9530659502591
2022-01-12,"OK","40","Oklahoma",0.152322475180415,0.0971465784192549,376215,57306,36548,15.2322475180415,9.7146578419255
2022-01-12,"OR","41","Oregon",0.318783482436425,0.227945066153842,342157,109074,77993,31.8783482436425,22.7945066153842
2022-01-12,"PA","42","Pennsylvania",0.290879040815229,0.201605813003956,1022535,297434,206149,29.0879040815229,20.1605813003956
2022-01-12,"RI","44","Rhode Island",0.474537485940348,0.35029541429107,77349,36705,27095,47.4537485940348,35.029541429107
2022-01-12,"SC","45","South Carolina",0.165716198003099,0.101224912669961,436276,72298,44162,16.5716198003099,10.1224912669961
2022-01-12,"SD","46","South Dakota",0.237472333149864,0.159466454310173,85391,20278,13617,23.7472333149864,15.9466454310173
2022-01-12,"TN","47","Tennessee",0.144172403124097,0.0962186389424975,585001,84341,56288,14.4172403124097,9.62186389424975
2022-01-12,"TX","48","Texas",0.227062303258712,0.127822907099715,2903877,659361,371182,22.7062303258712,12.7822907099715
2022-01-12,"UT","49","Utah",0.263510595849116,0.164824623255661,365898,96418,60309,26.3510595849116,16.4824623255661
2022-01-12,"VT","50","Vermont",0.588848986271479,0.48033912173834,43996,25907,21133,58.8848986271479,48.033912173834
2022-01-12,"VA","51","Virginia",0.377806267451654,0.275597487929921,723069,273180,199276,37.7806267451654,27.5597487929921
2022-01-12,"WA","53","Washington",0.317631241140577,0.23325454910478,657492,208840,153363,31.7631241140577,23.325454910478
2022-01-12,"WV","54","West Virginia",0.155791485295679,0.103047032593694,141285,22011,14559,15.5791485295679,10.3047032593694
2022-01-12,"WI","55","Wisconsin",0.274207247442832,0.206804484847992,492146,134950,101778,27.4207247442832,20.6804484847992
2022-01-12,"WY","56","Wyoming",0.137081740636828,0.085374809347167,53107,7280,4534,13.7081740636828,8.5374809347167
2022-01-12,"PR","72","Puerto Rico",0.49049881756238,0.308732488296281,227919,111794,70366,49.049881756238,30.8732488296281
